1,Notebook,A5 lined notebook for daily notes,3.99
2,Pen Blue,Blue ink ballpoint pen smooth writing,1.49
3,Pen Black,Black ink ballpoint pen reliable,1.49
4,Pencil HB,HB graphite pencil for writing,0.99
5,Eraser,Soft rubber eraser smudge free,0.79
6,Ruler 30cm,Plastic ruler 30cm measurement,1.29
7,Marker Red,Red permanent marker bold tip,2.49
8,Marker Blue,Blue permanent marker quick dry,2.49
9,Stapler,Standard stapler with 1000 staples,5.99
10,Paper Clips,Pack of 100 metal paper clips,1.99
11,Folder A4,A4 document folder durable plastic,2.99
12,Backpack,Basic school backpack lightweight,19.99
13,Water Bottle,Reusable water bottle 750ml,7.99
14,Desk Lamp,LED desk lamp adjustable arm,14.99
15,USB Drive 32GB,32GB USB flash drive high speed,9.99
16,Mouse Wireless,Wireless optical mouse ergonomic,12.49
17,Keyboard,USB keyboard full size quiet keys,17.99
18,Headphones,Over ear headphones clear sound,24.99
19,Calculator,Basic calculator 12 digit display,6.49
20,Sticky Notes,Pack of sticky notes 200 sheets,2.19
